comment,sarc_majority
1 Bangsa? 1 Negara? 1 Matlamat? 1 MALAYSIA? TAPI KENAPA SABAH DAN SARAWAK PERLU DIBERIKAN LAYANAN “DOUBLE STANDARD” DI MALAYSIA?,sarc
Kata satu malaysia...tpi nape sabah swk rm 920???kalo rm1000 tahap miskin niekan pulak yg rm920....sepatutnya samarata sebab kami disbah swk pun bayar gst dgn nilai yg sama...malah kami kena kos penghantaran membuatkan brg lebih mahal dri semenanjung....satu malaysia kena ulam,sarc
Alhamdulillh..tp nape xselaraskn smua sama,sarc
Still tak boleh kalahkan PR punya gaji minimum dulu 1100 Haha,sarc
pkja awam rm1200 minimum.. swasta rm1000.. sbh srwk rm920.. knp x selaraskan je bia sume sme.. sume mkn nasik jugakk.. nk bg tu bia adil utk sume.. dgn kos sara hidup skng rm1000 tu cukup ke..,sarc
alang2 kasi naik sikit ja tu,sarc
itu julai dpan . bkn tahun ni >_<,sarc
kesan??hahaha...,sarc
920 tu cukup ker untuk bayar bangsat GST??brim bagi pun ckit...puihhhhh!!!!,non-sarc
Tdk adil...,non-sarc
Rm1000??????? Bayar bangsat GST pun tak cukup?????? Menyusahkan rakyat kao kao.......,sarc
Kau ingt 1000 tu cukup hahaha.. bukn ni gaji zamn 70/80an kee...,sarc
Yey!!,non-sarc
"pelik aku..dulu bising brpendapatan rendah cukai tgi..yg kaya brtambh kaya,miskin brtambah miskin...skrg yg kaya dikenakan cukai tgi,korg bising jgk?..bkn korg yg mintak ker?.",sarc
Dasar gaji n cukai ni confirm harga barang naik walau pun ada yg syiok gn brim n rm500,sarc
Utk yg pendapatan rm600k-rm1million per year la weyy.. ni ramai komen tanpa baca dulu.. aparaa!,non-sarc
hahahaaaa..... kan aku dah kata,sarc
Nasib baik pendapatan sederhana turun.. Alhamdulillah.,non-sarc
"Wow, rakyat malaysia kita masyukkkk...hahahaha....",sarc
Pendapatan 600k /anl ke atas..tp yg gaji 3500 dan ke atas tu..ko byr mcm biasa kihkih,sarc
"Korek jib korek duit rakyat seprogesif yang boleh.. Dimane ada lubuk boleh korek, sila la korek sehabis2nya biar sampai rakyat jatuh terjelupuk. Phuiii",sarc
Ramainya orang kaya kat sini :-P,sarc
"Aku tak dpt brim,  duit cukai yg aku bayar kat lhdn,  nak bayar kpd penerima brim.. hahahah",sarc
Mesti hampa tk baca berapa pendapatan tersebut haha,non-sarc
Baguslah tu,non-sarc
Semua mau naik....aiyaaaa...makan roti looooo...amik cukai gaji kasar...ce amik gaji bersih pas tolak segala...tgk rakyat mampu x nak hidup....aptb...,sarc
Mcm x galakan gaji rakyat tinggi je..,sarc
Sekarang dah 23%-26% .... Ni gila namanya,non-sarc
Firaun,sarc
Kerajaan BN nak sembelih rakyat?. Nanti kita sembelih dia dlm PRU 14 akan datang. Kerajaan buat hutang...rakyat yg nak kena tanggung. Ini geng Malaun & Penyangak Negara.,non-sarc
Yg masaalah rakyat biasa yg keno dan pemimpin lepas dari tax,non-sarc
Yg bising2 ni pendapatan 600k-1m keatas ke? Hahahah,non-sarc
Hahaha...kan dah kata...kuikuikui..,sarc
tu je krajaan pndai buat..naikkan cukai..mkn hasil titik peluh rakyat...,sarc
Pendapatan 600 000 ke atas...ok laaa tu....,non-sarc
Alhamdulillah PM NAJIB igt tu bayar cukai extra 3% Kan dh jd org berpendapatan tinggi,sarc
Phuiiiii semua nak naik jer....bengong,sarc
Tu lah dia... Dpt brim... Cukai pendapatan naik le,sarc
Makin lari la pelabur asing. Bijak abam najib.,sarc
Hehehe..baik tu..klo yg derme2...tk payah kena cukai..ok jgk....terbaik..,sarc
taik,non-sarc
Songlap duit ptptn kami la.... Ape lagii... Tkkn tk bese,sarc
"Jadi apa tugas hampa sebagai peneraju kera  jaan?...mengsonglap, merasuah, mengugut,mengkaya anak beranak ...tu saja yg hampa reti?....bengong....",sarc
Ekonomi baik katenya......antar anak ke U ibubapa ikat perut bergolok bergadai abis U anak2 ikat perut dgn gaji yg kecik entah2 peluang kerja pun x ade terpaksa berebut ngan bangsa asing.,sarc
"Inilah kerajaan bangsat, mengutip duit dari rakyat sahaja yang tahu segala tanggungjawab kerajaan semua nak serah jepada rakyat, tahukah kau wahai menteri rasuah dgn keadaan ini langkah termudah adalah dgn menaikan segala bayaran yang yg bersangkut paut untuk memasuki IPTA, ini semua akan menaikan kos dan menambah beban rakyat. Kerajaan yg berhutang sesuka hati rakyat dibodohkan untuk menanggung semuanya.",non-sarc
Hahaha... DEB. La ni. Dasar ekonomi Babi. ??,sarc
Dulu cakap ok ja,sarc
haritu suruh student masak nasi goreng x dok gst la ni nk suh cari duit utk dana u plak.. idea org x berakal dn pntg diri..janji gaji menteri naik..janji dicapati betul,sarc
Tak patut....,non-sarc
Apa nak jadi ni..,non-sarc
kan betul pembangkang ckap yuran universiti/kolej akan naik? haha padan la muka korang,sarc
makin sedih2..,non-sarc
"Sekolah kena cari duit sendiri, sumbernya tentulah ibubapa. Mana hasil gst yg kononnya utk pembangunan negara",sarc
Aku mampu tolong gelak kan je.. Hahahaha,sarc
Pantek apa..nk naik yuran blaja gak ke?sial la kerajaan skrg ni..,sarc
Cari Dana jual bentut lah..masa belajar nak cari Dana kat mane..kalau dah lulus GI luar negara kerja..negara nie until spm je,non-sarc
lepas SPM jgn msk ipta msk permata.. permata banyak dana.. hahaha,sarc
"Menteri bodoh, mcm mana org ni boleh jdi menteri",sarc
Kemah keming pah ni...brasa gigil kpala lutut nak sambung study,sarc
cari dana macam mana? mintak student jual pe?,sarc
"Bodo punya statement dari menteri..drpd cari DANA,baek cari DIANA..lg bes..",sarc
hehehe..menteri nak menswastakan universiti..,sarc
Eh ....bukan najib kata ekonomi malaysia kukuh dan mapan ke....mana satu yg betul ni,sarc
"Kalau institusi pengajian suruh cari dana sendiri,kalau menteri punya hal ehwal korek duit rakyat, apa punya manusia lah yg dilantik jadi pemimpin..., bkn ker kutipan cukai segala bagai  adalah untuk menampung instutusi pengajian rakyat dsbnya...jgn korupsi dan penyalahgunaan kuasa yg menybbkan ketidakstabilan ekonomi negara ini, menyebabkan kalian pemimpin yg dlm katogori tidak amanah menumpokan dan mengadai masa depan anak bangsa sendiri....kami boleh jer berusaha tetapi kalian yg diharapkan mentadbir dgn penuh amanah turun ke bawah tak payah jadi pemimpin kalau sekadar nak menjaga temolok sendiri n kroni.....marah memang kami marah...kenyataan koorang ni ibarat koomer belajor dulu xgunakkan duit rakyat.sampahhhhhhh",non-sarc
Aaiks...negara tak stabil ?  Kata ok !,sarc
"Tu hari cakap terpaksa naikkan toll untuk bina sekolah dan hospital, skrg disuruh cari dana sendiri?? Nampak sangat BN ni tipu rakyat hidup hidup",non-sarc
Hadiah utk pro aspirasi..hehe,sarc
"bab pendidikan BN buat main2, peruntukn utk jabatan PM naik pulak?!",sarc
Pendidikan kini jadi mangsa.,non-sarc
Amboii kau ni..sruh la 1mdb cri dana sndri bkn amek dana krajaan yg kutip ckai dri rkyt..tgur boss kau dlu sblum tegur rkyt,sarc
Suruh najib pulang duit rakyat,non-sarc
la najib kata ekonomi malaysia kukuh..siap bg lg no ranking..tp aku lupa ranking bape...putar alam btl la korg ni..dey paria..bodoh pny ahli2 umno..,sarc
"Ekonomi negara memang sdh merosot pun,najib ja x mao mengaku..apa nk jd la dngan m'sia ni...",non-sarc
Kat parlimen berteriak2 kata Ekonomi sangat bagus Dan di landasan yang betul. Ini cakap lain pulak . Tak boleh ke kurang kan bajet Jabatan Perdana Menteri yang 24 billion RM tu?,non-sarc
Mcm tu kelak...IPTA DIselubungi rasuah...sbb mencari sumber...nk lulus rasuah dll,non-sarc
ehh bukan ke PM kata ekonomi kita mantap!! sapa yg tipu ni?,sarc
Kata pm budget n peruntukan utk pendidikan be juta juta. Now menteri  suruh cari Dana sendiri.PEMBOHONG lagi??,sarc
Dah penyangak yg tadbir negara..,non-sarc
boleh mintak khidmat Cikgu Murni utk minta dana pada Haji Bakhil...lol,sarc
najib kata ekoonomi stabil idris jusoh kata x stabil sapa nk petcaya cm ni,sarc
Naa mati pelajar masuk u...,non-sarc
 “Satu idea bagus cari dana sendiri” Caj sana sini cut budget sana sini,sarc
makin bangang umnoo ni..pngundi umnoo xpyh tny la mmg bhlol sejak azali lg,sarc
2.6 kan hadooo....,sarc
Jib cakap ekonomi malaysia dalam proses berkembang maju.. ?? ni ckp lain pula..,sarc
"Saya setuju jika ipta cari dana sendiri dan tak bergantung pd kementerian sj. Tp adakah ini masa yg sesuai utk laksanakan? Dlm keadaan ekonomi merudum, duit negara lesap akibat salah tadbir urus? Dibiarkan ipta terkapai2 lemas sendiri.. Kerajaan excited bina berpuluh2 universiti, konon utk masa dpn rakyat. Kualiti graduate hilang, projek2 bina universiti diagih2 utk kepentingan kroni. Akhirnya, bila dh melambak universiti, kementerian tak mampu nk tanggung kos, disuruhnya cari dana sendiri..terima kasih Pak Menteri, kita jumpa di akhirat..",sarc
Bodoh betul pembangkang yg mentadbir negara selama ini sehinggakan ekonomi kita tak stabil.,sarc
 “dapat membantu mengunjur (ekonomi negara yang kini berada pada tahap yang kurang stabil)” tapi najib kate ekonomi negara dalam keadaan stabil hmm,sarc
"budak2 nak belajar dipotongnya la duit...bantuan dah la susah nak dpt...zakat haram nak bg...bila xdpt belajar dikatanya pemalas, xnak belajar...mcm mana nak belajar kalo nak mkn pon susah...para penguasa sekalian...nnt jwb la kat akhirat ye...skrg mmg xnmpk...hati gelap mkn duit xberkat",sarc
apeni.. baru bentang bajet ..blum blanjer lg la wei... dah kata bajet kurang stabil.... ni iklas ke tidak ni blanjer utk rakyat.... meroyan ke peni... tlg la kerajaan.. jgn bg rakyat lebih ramai kene demam KEPIALU..... pening2...,sarc
abistu cukai yg dibayar ko nak buat ape..???? masuk poket korang ke..???,sarc
Najib ckp ekonomi kita mengembang baik...acaner deme ni,sarc
Idea trbaik,non-sarc
Dato najib kata ekonomi kita berada di landasan kukuh..,non-sarc
Naik yuran pengajian la nampak gaya nya.,sarc
"Ipta akan menjual nasi lemak ,buka mekanik,kedai makan ,pub di campus nanti",sarc
Aikk xstabil... hari tu Pinocchio KERAjaan tu kata ekonomi berada dlm keadaan stabil.. mcm mana ni ...,sarc
"Gila...alasan utk naikkan yuran... PTPTN lagi pelajar nk kene hadap... Pastu ramai rakyat x mampu nak belajar. Jadilah pandir... Last sekali undi UMNOlagi, dah xcerdik.... Memang jahat dan licik menteri BN ni!",non-sarc
Boleh bungkus pak2 menteri ni.. Dah x lama da ni.. Sabo ckit je lagi... ??,sarc
Org ni kata ekonomi berada di landasan yg kukuh.. unjuran pendapatan negara meningkat.. menteri ni kata lain plak.. mmm hangpa ni dh kenapa.. punggoq betui,sarc
"Kerajaan hanya tahu curi duit rakyat,memang keadaan sekarang semakin menyusahkan rakyat,duit semua menteri yg kaya,boooooo babi punya menteri",sarc
Kurang stabil pemenda nya setan... kate gst ade bleh naik ekonomi.. tol ko da naik kan..haramjadah nye kerajaan,non-sarc
Pak Deris ni buat lawak pulak dah.Najib kata ekonomi kukuh tapi dia kata kurang stabil.Elok kena pecat je dia ni.,sarc
ambil separuh 2.6 billion untuk majukan pendidikan negara. bukan untuk sumbat dalam politik..,non-sarc
Kalau ikm ker... poli ker... ikbn ker... bagus tu... mesin dah ada:-P,sarc
Tahniah laa... Gud luck ipta!!,sarc
Sape ade fully report bajet 2016 X de ape nk tgk cma nk tau permata mkcik mah dpt brpa?increase bp % huhu yg lain x minat nk tau..!!,sarc
Kata ekonomi Malaysia dalam landasan yg baik masa bentang budget. Tiba2 lain pula.  ??????????... putar alam betul.,sarc
ok jual kepok,non-sarc
Cari dana sndri tu maknanya kne kne up yuran la ye.?gitu..torbaikk..puii,sarc
Buka dobi :-P,sarc
Suruh ipta buka kilang biskut :-P,sarc
Penat menteri pun... cukai rakyat hilang ke mana?,sarc
Suruh ipta buat hotel atau homestay untuk ibubapa atau orang luar... practical kat situ jer :-P,sarc
Keh keh keh. ikot boss la cari dana dari arab. Untung2 dpt 2.6 b,sarc
Ipta cri dana sndri .. Hbes la student lpas manjang kne saman jela dgn pihak pentadbiran..,sarc
Laaa ekonomi negara xstabil ke?? Oiii gst setahun 27bil kot..bgi je rm2 bil utk pelajaran percuma.jgn nk kedekot sgt!,sarc
Ada jgk menteri yg mengaku sendiri ekonomi malaysia berada ditahap KURANG STABIL....baguslah.,sarc
Makin ramailah bebudak student buat MLM....,sarc
Pelajar keno ppakat jual tapai tlg cari dana.. .,sarc
ape ni idris...tak sehaluan dgn najib toyol botak bibir pink... dia kata ekonomi Malaysia pada tahap yg sgt bagus kan...,sarc
senang je...potong je gaji menteri dan ahli parlimen 25%..then mansuhkan elaun merapu meraban 2...dkt situ je dah save brp byk...universiti tmpt pelajar mencari ilmu bkn company besar yg berniaga gas dan minyak..apa bangang menteri skrg ni..mana pergi hasil gst??,non-sarc
Naik yuran 200%,sarc
Biar betul? Mcmane lah nasib pendidikan di malaysia nnt? Anak2 kita yg nk belajar tu.. Nampak tak permainan dia?,sarc
Jumpa tok arab mintak dana passss tu diam2 jgn bagitau sapa sapa taww...,sarc
"Naikkan yuran, habis cerita. Yahoooo",sarc
UM wajib buat sbb apa guna RND selama ini.,non-sarc
Xlama lagi yuran naik lah sebab kena cari dana sendiri,non-sarc
"Siaplah,  yuran universiti akan naik. ??",sarc
Dia bagi hint dah tu,sarc
Nama pun IPTAwam..bukan IPTSwasta..knp sampai kena cari dana sendiri...padoh la gomen ni...,sarc
Spttnya gaji menteri potong bg ke ipta.. Bantu semua kaum tuk belajar...... Ingt yg semua masuk U mak pak kaya Bodoh punya menteri....,non-sarc
Ppuuiihh,sarc
Cari dana sendiri..bagosss...apa lg naikkan yuran le..kan ke senang..,sarc
tsk tsk tsk. xlme lg yuran nek la tu. good job.,sarc
Mntri bodoh ckp mcm nie la jdi,non-sarc
Duit xdop perabis ke kroni,non-sarc
"Najib dah kantoi. Atau idris jusoh tak buat kerja, tak bg cadagan.",non-sarc
Ok,non-sarc
Vongokkkzz punye menteri,sarc
Pulok dh..,sarc
Kenapa kerajaan tak cari dana sendiri...takda duit aje cari rakyat utk tanggung perbelanjaan. Bila duit ada bagi perabis dgn kroni2,non-sarc
"Bodoh serupa lembut, kt situ student jer banyak nk cari income  dari students camno, yang tak cukup makan pun ade Bongos, situ tempat orang timba ilmu bukan tempat cari untung. Benak sungguh....",non-sarc
pelik jer bunyi “ekonomi negara yang kini berada pada tahap yang kurang stabil.” sebelum ni kata ekonomi negara stabil???,sarc
dia nk bgtau jgn mengharap pd gov..,non-sarc
aik..bkn botak arituh ckp ekonomj kita tgh berkembang ke..??paling baik seantero benua...kencing betul hah..,sarc
Ingt senang ka,sarc
mentri  umno ne bahlul... Kalau ckp di tv c najib semua untung.......ITU DANA SEBNARNYA SEMUA CUKUP...TAPI BILA KENA SARINGAN OLEH MENTRI2.DANA TU JADI SIPUT........ TENGOK SENDIRI PENDIDIKAN YG MENTRINYA IDRIS JUSOH....TUNGANG LANGANG...,non-sarc
Buto lh,non-sarc
Rasanya negara kita kaya dgn hasil bumi..kemana semuanya..kne telan bumi ke...,sarc
Apa kata klu kementerian pendidikan tggi ngan kementerian pelajaran digabungkan jimat la sikit..pastu Apa kata klu dato letak jawatan?jimat sikit belanje..,sarc
Kat mana nak cari bodoh...paling senang naikkan yuranlah..mcm kerajaan  buat skrg..,sarc
khinzir tul..sjk dbwh krjaan skrg..yg kya snng hye dorg,sarc
Pakat juai cucuq pisang cari dana seniri..,sarc
Cara utk menaikkan yuran pengajiaan dimalaysia.... Apa guna Ada gst....,sarc
Jual tanah laaa,sarc
Tu tanda2 masuk u kena tanggung sendirilah tu ....,sarc
Kase free laa ahahhaa,sarc
Elok jadi banduan la dr jd student skg,sarc
mkn mju mkin myusahkn rkyt..pundett..,sarc
Ipt awam cari dana sendiri mabuk ka menteri ni...,sarc
patot la mcm mcm yuran naik mendadak.. sticker kenderaan yang sebelom neh rm5 pon bole naik jadi rm30... yuran asrama pon naik jugak,non-sarc
"Disebabkan peruntukan kurang, kena cari sendiri yang lebih...",non-sarc
Kan dah kata..... tamparan pertama bajet 2016,sarc
Kita TIDAK PERNAH mendengar PM kata ekonomi tidak stabil,sarc
Terbaik. Baru reti reka benda yg bole jual. Yg cantek manis boleh belakon sambilan jadi model,sarc
Lu orang sedap buat wang besar..sekolah punya tempat lo suruh kerja cari wang .bodo,non-sarc
Sekejap kata ekonomi bagus.. d landasan yg btol dan mcm2 sedap d dengar.. tiba2 gini lak cer... alahai...,sarc
hahaha duit dah abes kat 1mdb ke? suruh la depa cari dana sendiri,sarc
Aik kurang stabil ka?aku tengok tv3 hari2 berita kata ekonomi negara makin naik,sarc
"Kalau IPTA di bawah 1MDB,  senang jer dapat dana...hahahaha",sarc
Ekonomi negara PD tahap kurang stabil???? Apa beruk ni kata??? Masa bajet ...bapak beruk kata ...ekonomi Msia PD tahap baik utk capai wawasan 2020??? Mana SATU yg betul? Beruk ke bapak beruk??,non-sarc
Eh kata ekonomi stabil..kata kita antara yg terbaik ekonomi...pa cita?,sarc
Lebih baik IPTA diswastakan kalau kena cari dana sendiri..,non-sarc
Kasi naik yuran la...apa susah...rakyat berpusu2 nak tolong ni...,sarc
Wakakakakaka...  Apa guna kerajaan?  Sialan,sarc
najib razak kata ekonomi kita kukuh dan memberangsangkan.. mmm,sarc
makin teruk da pemikiran menteri2x kerajaan malaysia nie...makin lama makin mencarut....xcukup dgn GST???......,sarc
"Ipta buat event cari dana sendiri .bila event berjaya dan dpt perhatian dunia . Dgn selamber nye menteri2 nie td tnjuk muka dan dpt nama . Knape semua nie berlaku ?? Come on , ko dduk dkt malaysia . Korupsi , rasuah dan simen menyimen ialah misi dan visi KERAjaan .",sarc
Kurang stabil..? Tp bila dgr berita tv3 smuanya baik dn maju mngalahkn ekonomi negara maju...,sarc
Tgok..nampk dh prmainan dia..bentang budget juta2..tp nk sedut balik sruh ipta cr dana sndri..haha,sarc
hahaha.. jd ipts la.. naik yuran. bru masyukkk,sarc
sepatutnya taim ekonomi meleset ni la pak menteri nk tnjuk kredibiliti mereka sume.....mintak potong gaji 20% ka...barula nampak jnis menteri yg betanggung jawab..ni sume pakat dok jaga perut masing2...mcm haram...keje nak menyusahkan rakyat je..,sarc
Hmmm expected,sarc
"Makin maju negara, makin tersepit rakyat, bodohkn menteri2 yg membazirkn wang rakyat,",non-sarc
Kesian..,sarc
Berattttt....suruh U cari dana sendiri..kerajaan apa fungsi??? Last2  ibu bapa student jgk yg kene.,sarc
"Dah tersasar banyak ni,selagi najib pegang ni la jadinya menteri bengong semua ke parlimen yg cerdik diketepikan",non-sarc
"Aik baru je bentang bajet najib cakap ekonomi malaysia ditahap baik malah lebih baik dari tahun 1998,nak fitnah tu agak2 la tak tengok tv rtm,tv3 dan baca utusan ke?",sarc
Sepatutnya menteri kabinet ni tak payah bayar Gaji....Gesa cari dana sendiri....pandai2 lah kutip derma ke,sarc
"Dana kepala hotak ko berjambul,  yuran naek,  cas tu cas nie, laknat  lor ko nie",non-sarc
Cara mudah..naik yuran sebanyak rm100..dpt 2 juta utk 1 sem..kalau pelajar 20k..,non-sarc
Pulak dah.... ingt senang nak cari dana sendiri,sarc
Pulak.. Lepas ni apa lagi? Berita yang mengecewakan,sarc
Sbnarnye senang je ipta ni nk cari dana y bnyk.. Naikkn yuran jela.. Mmg sblm ni pun mcm tu.. Koperasi sendiri ada tp mcm hidup segan mati xnk..,non-sarc
Kesian ipta lepas ni...jenuh cari dana mcm sek rendah dgn menengah...mana pi hasil gst pon tak tau......,non-sarc
apa kata buat dlm kementerian dato idris dulu klu berjaya br suh jbtn bwh dato tu ikut cari dana sendiri.jimat sikit peruntukkan tahunan gov,non-sarc
songlap sakan sampai xcukup dana ke??,non-sarc
naikkan kos pengajian la tu...,non-sarc
Buang brim dan buang gst.  Yg rakyat nak harga turun.  Bukan duit untuk beli brg mahal.  Sekian.,sarc
Dulu TUN M jaga xdok GST rilex je..rakyat senang lenang lg hidup xpening psl belanjawan..skrg???haktuiii..,sarc
Itu maksudnya kerajaan gagal mengawal perbelanjaan sebelum gst lagi..so wujudnya gst untuk tutup lubang..pastu puji gst selamatkn negara..haha,sarc
Hahahaha......,sarc
Apa yg engkau merepek ni..bahlolll..hikhikkkk,sarc
kepala hotak kau berita harian,sarc
Cukai atas cukai.....cukai sdh berlipat2 ganda jadinya....xtrasa haram ke whai menteri2?,sarc
Inflasi makin tinggi la jwpnya haha...pengguna akan berkira utk beli brg sb gst..,sarc
Sblm ni ckp ekonomi asyik naik jer..mau tipu olang ka? per cer?,sarc
Pemerintahan menipu rakyat dan menjanam negara tak boleh berfikiran matang dan berjiwa Malaya hanya berjiwa Wang ringgit semata- mata untuk memenuhi poket2 mereka semua,non-sarc
"Naik lagi banyak lagi bagus , yang tak ada slip gaji , selamat malam.......",sarc
Gst di adakan sbb nak recover belanjawan najib yg melampau yg lepas lepas..gitu lh jawabnye...sbb tu lh nakkan juga gst.ni...biar rakyat yg tanggung..,sarc
mampus,non-sarc
Geng Suka Tipu Geng SongkOk Tinggi Geng sampai Tua ...,non-sarc
Hahaha. ..,sarc
Hanya org kaya raya je tk rasa susah nya ...tgu pru akan datang habis lh umno conform..rakyat dh muakkkk...,non-sarc
Dulu takda pun GST belanjawan negara mantap skrg hampir bangrap....,sarc
Kita patut tengok dr mana puncanya. Hapuskan puncanya dulu sebelum proses pemulihan.,non-sarc
"cukai atas cukai.....puuuiiii, rakyat yg ssh, org depa senang lenang.............bln2 trm gj dng bonos......#malaysiatakamanlagikorangade",sarc
Dasar penipu...,non-sarc
Kepala bana nah,non-sarc
GST mmg ssh kn rakyat..,non-sarc
Sebelum ni tak jd gitu pun....setahu saya selepas GST br jd mcm ni....apa punya membongak.....,sarc
Ermmm....propa,sarc
"tol pon naik, jilake",non-sarc
hebat sgguh pemimpin kita ..alasan demi alasan,sarc
buat ssah org je kerana gst siapa kaya org miskin mcm mna plak fkir la semua brg dah naik hrga apa lgi itu pun nk kena bgi tau ke fham la skit,non-sarc
duit kami gak.... aduh,sarc
Kamu merompak kami yg tanggung,sarc
"Najib salahkan ekonomi dunia, alah utuh",sarc
"Hangpa yg komen2 ni betui ke pandai ekonomi ke main tembak aje ,dengak org lain komen hangpa pun nak komen,kalau pandai sgt..ekonomi rumah tangga sendiri jagalah betui2..cuba buat surplus bajet..",sarc
Kekhinziran najib semua ni!!,non-sarc
Stop kan aje pemberian brim tu..budget tok brim tu disalurkan tok subsidi bg kurangkan kos sara hidup,non-sarc
Pui pm  tak guna.,sarc
"Ye la, dh puak2 atas mkn sume. Rakyat kena tggung pe hal!",sarc
Pembohong,non-sarc
Ketara betul hisap darah rakyat....,sarc
Gst jahannam..tolong lenyapkn ..pm oh pm..pekak.tamak..tak nk ikut cakp rakyat..sengsaralh rakyat dibuatnya,non-sarc
Bahana 1mdb,non-sarc
"GST memberi manfaat pd rakyat (dan mengukuhkan pengekalan parti yg memerintah), GST wajar dinaikan ke... 10% demi kebaikan pd nusa dan negara.",sarc
dia orang punya tahi kita rakyat yang kena tanggung,non-sarc
Apa mo gst...dlu pun x ada gst ok jak....rakyat pun selesa...,non-sarc
tak percaya korang tgu....gst mesti akan naik punya...dia da bg habuan da sedapkn kita..tgu dia bg mandram....nnti rakyat pun lena hahaha,sarc
"Pemerintah yg x pandai mgurus, rakyat pula yg cari duit utk kerajaan.  Mana pergi nya hasil bumi? Wahai pemerintah buka mata, tengok negara jiran yg tiada hasil bumi tp pandai mgurus dan akhirnya mjadi sebuah negara yg bpendapatan tinggi. Hapuskan rasuah terutama yang ikan jerung....PM plsz.",non-sarc
Itu masalah negara kerajaan yg buat hutang tanggongla sendiri jangan babitkan rakyat. Zaman Tun M tak pulak mcm ni...makin huru hara ekonomi rakyat.,non-sarc
Berita pong pang bagi tau ekonomi Malaysia terbaik dan sumber pendapatan terbaik la. Last2 kena cukai nak cover masalah. Macam cis.,sarc
Hahahaaaaaaaaaaa,sarc
Bagus tu gst,non-sarc
Negara nak muflis dgn angkara aku.... mujur ada gst... boleh ambil duit rakyat utk cover up balik....,sarc
kerajaan hutang dgn negara lain pstu buat gst duit kami jugak sesah sendiri hutang sendiri tanggung la,non-sarc
butuh,non-sarc
ckp tk srupe bikin....goblokk,sarc
Ramai pengeluh disini.. syukurla.. rezeki ada dimana2,non-sarc
Jawapan yang benar2 tak bersekolah dan lol..!,sarc
Naikkanlah lagi gst 20 peratus.  Kami redha kalau la itu cara kerajaan cari duit.,sarc
Pala butuh..,non-sarc
Kias kias kata2 GST nk naik lgi,sarc
Ye la dh boros sgt..,sarc
Kenapa makin teruk sekarang la di samping pm banyak merapu.banyak juga kes bunuh.yg bilion tu mana pergi?,sarc
puiiii....,non-sarc
Rakyat hidup utk bg duit kat keorg je. Cukai atas cukai...pui..,sarc
Babi dia belanja aku lak kena tanggung..,non-sarc
Ssedap rasa je kata semua boleh terima gst skang....ptut nye rasa bersalah lah sbb pksa rakyat bayar gst utk bntu kerajaan yg sedia ada ni...podacett...,non-sarc
Klu gst ada lg mampos rakyat...brim bg setahun sekali...gst tiap2 hari kena...hapuskan brim hapuskan gst...tu je yg terbaik...jubo ayam punya menteri burung unta,non-sarc
nilah perdana menteri yg bebankan rakyat. pm yg lain menyenangkan rakyat.,sarc
Ye lah..tahulah duit makin nipis...tapi berhenti lah bagi br1m...,non-sarc
Krajoe nate beruk.,non-sarc
Cari tak tau.. belanja pandai,sarc
Owhh cmtu.yg cukai yg ad2 tu xckup ke.mslhnye Rakyat pun kene gst.klo bos2 besar je xpe.penipu je lbih.kempen bgaikn nk rak kata gst untungkn rkyat...,non-sarc
sst kan dah ada x cukup lagi kah....jimat cermat la jgn membazir..,non-sarc
Gst tak perlu ada kalau tak ada Brim.  Cuba bagi tau najib.,non-sarc
Menteri dulu pandai.. Menteriseoarang xberapa nk pandai bakar darah nk duit rakyat..,non-sarc
taikkkkk arrr,non-sarc
ambik duit sendiri kat ATM pun kena GST ni yg aku tak suka..nih,non-sarc
GST BANGSAT!!!JIBBY P0N BANGSAT!!!,non-sarc
"tapi still bingai duk umum bonus sna sni..tarik bonus, tampung bahagian GST.. dah ngara ekonomi pun mcm hang bingai..masih lagi nak umum bonus sna sni mcm bgy pakai duit MAK BAPAK KAU.. GST zero-rated,, semua rakyat rasa.. kerajaan ka private sektor kaaa.. stupiditas",sarc
kepala otak dia,non-sarc
alasan x guna otak semua ni.,non-sarc
Ada kasi...ada baliklah..hehehe,sarc
Merompak wang rakyat utk membuncitkan perut masing2,sarc
"Ni semua ahli ekonomi yg dibayar oleh Najib , dulu tak ada GST pun ekonomi blh berkembang tak ada masalah pun hatta zaman gawat pun pemimpin dulu masih mampu mengawal ekonomi jd kenapa skrg hanya mengharapkan GST seolah2 tiada GST ekonomi malaysia akan lingkup sedarlah kita dianugerahkan dgn bumi yg kaya hasilnya tp sayang dipimpin oleh pemimpin yg maha korup ..",non-sarc
Gst utuk najib.hahaha,sarc
Bkn menteri2 Malaysia ckp GST utk bagus utk rakyat dan byk brg2 akan turun....nampak sape tipu sape,sarc
ciri2 umum nak naikkan GST ni.. pembayang yang mudah difahami..,sarc
Hahaha.... mmg la deficit yg ketara sbb ketirisan tahap melampau..... Mana perginya duit2 yg ada sebelum ni? D belanjakan utk apa? Brp byk pembangunan yg telah d buat?? Hmmm.... rasanya hasil pembangunan negara ni menampakkan hasil dari zmn Tun M dan bukannya sekarang. Maaf ye jika sy tersilap fakta ????,sarc
"Bgus konon bdget 2016 untuk rkyat jib2 kpla otak ko tdak bgus, bdoh,",sarc
mmg la defisit dah ko buat hutang berbilion...,sarc
Pala but....oh!! Salam 2.6,sarc
GST haram,non-sarc
